M050-kode;M050-navn;M050-kortkode
NiN-3.0-T-C-PE-NA-MB-OA02-M050-03;kalkrik steinbunn i humøs elv;OA02-M050-03
NiN-3.0-T-C-PE-NA-MB-OA02-M050-04;kalkrik steinbunn i klar elv;OA02-M050-04
NiN-3.0-T-C-PE-NA-MB-OA02-M050-05;kalkrik til saltanriket arktisk-alpin hei og leside;OA02-M050-05
NiN-3.0-T-C-PE-NA-MB-OA02-M050-06;kalkrik undervannseng i elv;OA02-M050-06
NiN-3.0-T-C-PE-NA-MB-OA02-M050-07;kalkskog;OA02-M050-07
NiN-3.0-T-C-PE-NA-MB-OA02-M050-08;klart endret innsjøbunn preget av næringsstoff-overbelastning;OA02-M050-08
NiN-3.0-T-C-PE-NA-MB-OB01-M050-01;klart endret skogsmark;OB01-M050-01
NiN-3.0-T-C-PE-NA-MB-OB01-M050-02;klart endret våtmarksskogsmark;OB01-M050-02
NiN-3.0-T-C-PE-NA-MB-OC01-M050-01;klart kalkrik arktisk-alpin grasmark;OC01-M050-01
NiN-3.0-T-C-PE-NA-MB-OC01-M050-01;klart kalkrik isinnfrysingsmark;OC01-M050-01
NiN-3.0-T-C-PE-NA-MB-OC01-M050-02;Klart kalkrik myr- og sumpskogsmark;OC01-M050-02
NiN-3.0-T-C-PE-NA-MB-OC01-M050-02;klart kalkrik avskoget hei og eng;OC01-M050-02
NiN-3.0-T-C-PE-NA-MB-OC02-M050-01;klart kalkrik rasmarkeng og -hei;OC02-M050-01
NiN-3.0-T-C-PE-NA-MB-OC03-M050-01;klart kalkrik til saltanriket rabbe;OC03-M050-01
NiN-3.0-T-C-PE-NA-MB-OC03-M050-02;klart kalkrik åpen semi-naturlig eng;OC03-M050-02
NiN-3.0-T-C-PE-NA-MB-OG01-M050-01;klart til ekstremt kalkrikt nakent berg;OG01-M050-01
NiN-3.0-T-C-PE-NA-MB-OM01-M050-01;konsoliderte marine bresedimenter;OM01-M050-01
NiN-3.0-T-C-PE-NA-MB-OM01-M050-02;kronisk forsuret eller eutrofiert innsjøbunn ;OM01-M050-02
NiN-3.0-T-C-PE-NA-MB-OM01-M050-03;kronisk forsuret elvebunn;OM01-M050-03
NiN-3.0-T-C-PE-NA-MB-OM02-M050-01;kronisk forsuret fast innsjøbunn ;OM02-M050-01
NiN-3.0-T-C-PE-NA-MB-OM02-M050-02;kronisk kjemisk påvirket elvebunn;OM02-M050-02
NiN-3.0-T-C-PE-NA-MB-TA01-M050-01;kronisk kjemisk påvirket innsjøbunn ;TA01-M050-01
NiN-3.0-T-C-PE-NA-MB-TA01-M050-02;kronisk saltpåvirket innsjøbunn ;TA01-M050-02
NiN-3.0-T-C-PE-NA-MB-TA02-M050-01;kyst-sanddynemark;TA02-M050-01
NiN-3.0-T-C-PE-NA-MB-TA02-M050-02;kysttilknyttet korallrev-bunn;TA02-M050-02
NiN-3.0-T-C-PE-NA-MB-TA03-M050-01;langvarig oversvømt flommark;TA03-M050-01
NiN-3.0-T-C-PE-NA-MB-TA03-M050-02;leir- og siltskred;TA03-M050-02
NiN-3.0-T-C-PE-NA-MB-TA04-M050-01;leire- og siltstrand i geolittoral;TA04-M050-01
NiN-3.0-T-C-PE-NA-MB-TA04-M050-02;litt til sterkt jordvarmepåvirket varm havkilde;TA04-M050-02
NiN-3.0-T-C-PE-NA-MB-TB01-M050-01;littoralbassengbunn;TB01-M050-01
NiN-3.0-T-C-PE-NA-MB-TB01-M050-02;marin driftvoll;TB01-M050-02
NiN-3.0-T-C-PE-NA-MB-TC01-M050-01;marine grotter og overheng;TC01-M050-01
NiN-3.0-T-C-PE-NA-MB-TC02-M050-01;moderat kalkrik fast strandkant-innsjøbunn ;TC02-M050-01
NiN-3.0-T-C-PE-NA-MB-TC02-M050-02;moderat kalkrik fastbunn i klar elv;TC02-M050-02
NiN-3.0-T-C-PE-NA-MB-TC03-M050-01;moderat kalkrik helofytt-ferskvannssump;TC03-M050-01
NiN-3.0-T-C-PE-NA-MB-TC03-M050-02;moderat kalkrik innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet;TC03-M050-02
NiN-3.0-T-C-PE-NA-MB-TC03-M050-03;moderat kalkrik undervannseng i innsjø;TC03-M050-03
NiN-3.0-T-C-PE-NA-MB-TC04-M050-01;moreneblokkmark;TC04-M050-01
NiN-3.0-T-C-PE-NA-MB-TC05-M050-01;myrtorv-innsjøbunn;TC05-M050-01
NiN-3.0-T-C-PE-NA-MB-TC05-M050-02;naturlig beitebetinget eng;TC05-M050-02
NiN-3.0-T-C-PE-NA-MB-TC06-M050-01;nedbørsmyr-skogsmark;TC06-M050-01
NiN-3.0-T-C-PE-NA-MB-TC07-M050-01;noe kalkfattig afotisk innsjøbunn;TC07-M050-01
NiN-3.0-T-C-PE-NA-MB-TC08-M050-01;noe kalkfattig fast strandkant-innsjøbunn;TC08-M050-01
NiN-3.0-T-C-PE-NA-MB-TC08-M050-02;noe kalkfattig fastbunn i klar elv;TC08-M050-02
NiN-3.0-T-C-PE-NA-MB-TD01-M050-01;noe kalkfattig innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet;TD01-M050-01
NiN-3.0-T-C-PE-NA-MB-TD01-M050-02;noe kalkfattig og kalkrik fastbunn i humøs elv;TD01-M050-02
NiN-3.0-T-C-PE-NA-MB-TD02-M050-01;noe kalkfattig steinbunn i humøs elv;TD02-M050-01
NiN-3.0-T-C-PE-NA-MB-TD03-M050-01;noe kalkfattig steinbunn i klar elv;TD03-M050-01
NiN-3.0-T-C-PE-NA-MB-TD03-M050-02;ny elvebunn;TD03-M050-02
NiN-3.0-T-C-PE-NA-MB-TD04-M050-01;ny grunn våtmark på menneskebetinget forsumpet fastmark;TD04-M050-01
NiN-3.0-T-C-PE-NA-MB-TD05-M050-01;ny grunn våtmark på tidligere ferskvannsbunn;TD05-M050-01
NiN-3.0-T-C-PE-NA-MB-TD06-M050-01;ny hard fastmark på tørrlagt elvebunn;TD06-M050-01
NiN-3.0-T-C-PE-NA-MB-TD06-M050-02;ny hard fastmark på tørrlagt innsjøbunn;TD06-M050-02
