HTkode;Varkode2;Trinn;Variabelnavn_kortkode;Definisjonsgrunnlag
T-K-01;HR;HR_C;;HA_b, HH_b, HR_ABC 
T-K-02;HR;HR_A;LM-HR;HR_ABC, HH_b, TV_k(‒), SA_b 
T-K-02;HR;HR_B;LM-HR;HR_ABC, HH_b, TV_k(‒), SA_b 
T-K-02;HR;HR_C;LM-HR;HR_ABC, HH_b, TV_k(‒), SA_b 
T-K-02;HH;HH_b;;HR_ABC, HH_b, TV_k(‒), SA_b 
T-K-02;TV;TV_k;;HR_ABC, HH_b, TV_k(‒), SA_b 
T-K-02;SA;SA_b;;HR_ABC, HH_b, TV_k(‒), SA_b 
T-K-03;HR;HR_D;LM-HR;HR_D, HA_y, HH_b, HM_0 
T-K-03;HA;HA_y;;HR_D, HA_y, HH_b, HM_0 
T-K-03;HH;HH_b;;HR_D, HA_y, HH_b, HM_0 
T-K-03;HM;HM_0;;HR_D, HA_y, HH_b, HM_0 
T-L-01;K;;;[K] 
T-M-01;MT;MT_A;LM-MT;MT_AB 
T-M-01;MT;MT_B;LM-MT;MT_AB 
T-M-02;MT;MT_C;LM-MT;MT_CD 
T-M-02;MT;MT_D;LM-MT;MT_CD 
T-M-03;MT;MT_E;LM-MT;MT_EFGHIJ 
T-M-03;MT;MT_F;LM-MT;MT_EFGHIJ 
T-M-03;MT;MT_G;LM-MT;MT_EFGHIJ 
T-M-03;MT;MT_H;LM-MT;MT_EFGHIJ 
T-M-03;MT;MT_I;LM-MT;MT_EFGHIJ 
T-M-03;MT;MT_J;LM-MT;MT_EFGHIJ 
T-M-04;MT;MT_K;LM-MT;MT_KL 
T-M-04;MT;MT_L;LM-MT;MT_KL 
T-M-05;MT;MT_M;LM-MT;MT_MN 
T-M-05;MT;MT_N;LM-MT;MT_MN 
T-M-06;MS;MS_A;RM-MS;MS_ABCIJ
T-M-06;MS;MS_B;RM-MS;MS_ABCIJ
T-M-06;MS;MS_C;RM-MS;MS_ABCIJ
T-M-06;MS;MS_I;RM-MS;MS_ABCIJ
T-M-06;MS;MS_J;RM-MS;MS_ABCIJ
T-N-01;HM;HM_y;LM-HM;HM_y
