M020-kode;M020-navn
NiN-3.0-T-C-PE-NA-MB-MA06-M020-09;afotisk finmaterialfattig til noe -rik uorganisk sedimentbunn i arktisk vann
NiN-3.0-T-C-PE-NA-MB-MA06-M020-10;afotisk finmaterialrik til -dominert dy- og gytjebunn i arktisk vann
NiN-3.0-T-C-PE-NA-MB-MA06-M020-11;afotisk satvannsbunn av konsolidert leire
NiN-3.0-T-C-PE-NA-MB-MA06-M020-12;overveiende uorganisk dyphavsvannssedimentbunn med abyssal næringstilførselsreduksjon
NiN-3.0-T-C-PE-NA-MB-MB01-M020-01;salt helofyttsump
NiN-3.0-T-C-PE-NA-MB-MB01-M020-02;nokså brakk helofyttsump
NiN-3.0-T-C-PE-NA-MB-MB01-M020-03;ekstrembrakk helofyttsump
NiN-3.0-T-C-PE-NA-MB-MB02-M020-01;saltvanns-undervannseng
NiN-3.0-T-C-PE-NA-MB-MB03-M020-01;kysttilknyttet korallrev-bunn
NiN-3.0-T-C-PE-NA-MB-MB03-M020-02;havtilknyttet korallrev-bunn
NiN-3.0-T-C-PE-NA-MB-MC01-M020-01;nokså brakk fast fjærebeltebunn
NiN-3.0-T-C-PE-NA-MB-MC01-M020-02;ekstrembrakk fast fjærebeltebunn
NiN-3.0-T-C-PE-NA-MB-MC02-M020-01;godt beskyttet fast brakkvannsbunn og bergvegg ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MC02-M020-02;eksponert fast brakkvannsbunn og bergvegg i eufotisk sone
NiN-3.0-T-C-PE-NA-MB-MC02-M020-03;bunn preget av trådalger i ekstrem-brakt vann ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MC02-M020-04;eksponert fast bunn i ekstrem-brakt vann ovenfor rødalgebeltet
NiN-3.0-T-C-PE-NA-MB-MC03-M020-01;permanent littoralbassengbunn i geolittoral
NiN-3.0-T-C-PE-NA-MB-MC03-M020-02;permanent litoralbassengbunn i supralittoral 
NiN-3.0-T-C-PE-NA-MB-MC03-M020-03;temporært litoralbassengbunn i supralittoral 
NiN-3.0-T-C-PE-NA-MB-MC04-M020-01;nokså brakk finmaterialfattig og noe rik bunn av uorganisk substrat
NiN-3.0-T-C-PE-NA-MB-MC04-M020-02;nokså brakk finmaterialrik bunn av uorganisk substrat
NiN-3.0-T-C-PE-NA-MB-MC04-M020-03;ekstrembrakk finmaterialfattig og noe rik bunn av uorganisk substrat
NiN-3.0-T-C-PE-NA-MB-MC04-M020-04;ekstrembrakk finmaterialrik bunn av uorganisk substrat
NiN-3.0-T-C-PE-NA-MB-MC04-M020-05;ekstrembrakk vært kalkrik dy- og gytjebunn
NiN-3.0-T-C-PE-NA-MB-MC04-M020-06;brakkvannsbunn preget av disruptiv sedimentasjon
NiN-3.0-T-C-PE-NA-MB-MC05-M020-01;marine grotter og overheng i øvre sjøkantbelte
NiN-3.0-T-C-PE-NA-MB-MC05-M020-02;marine grotter og overheng under øvre sjøkantbelte
NiN-3.0-T-C-PE-NA-MB-MC06-M020-01;vann- og gassførende kald havkilde i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MC06-M020-02;mudderførende kald havkilde i atlantisk vann
NiN-3.0-T-C-PE-NA-MB-MC06-M020-03;vann- og gassførende kald havkilde i intermediært vann
NiN-3.0-T-C-PE-NA-MB-MC06-M020-04;mudderførende kald havkilde i intermediært vann
NiN-3.0-T-C-PE-NA-MB-MC06-M020-05;vann- og gassførende kald havkilde i dyphavsvann
NiN-3.0-T-C-PE-NA-MB-MC07-M020-01;litt til klart jordvarmepåvirket varm havkilde
NiN-3.0-T-C-PE-NA-MB-MC07-M020-02;temmelig til sterkt jordvarmepåvirket varm havkilde
NiN-3.0-T-C-PE-NA-MB-MC07-M020-03;svært sterkt til disruptivt jordvarmepåvirket varm havkilde
NiN-3.0-T-C-PE-NA-MB-MC08-M020-01;eufotisk periodisk oksygenfri marin bunn
NiN-3.0-T-C-PE-NA-MB-MC08-M020-02;eufotisk oksygenfri marin bunn
NiN-3.0-T-C-PE-NA-MB-MC08-M020-03;afotisk periodisk oksygenfri marin bunn
NiN-3.0-T-C-PE-NA-MB-MC08-M020-04;afotisk oksygenfri marin bunn
NiN-3.0-T-C-PE-NA-MB-MC09-M020-01;temmelig til normalsalt havisbunn
NiN-3.0-T-C-PE-NA-MB-MC09-M020-02;brakkvannspreget havisbunn
